Country,Year,Breakdown,Value,Column,Flag,Column1,ID
Bulgaria,2024,Sheet 1 ALL CHILDREN UNDER 3,21.2,,,,Children in formal childcare or education 
Croatia,2015,Sheet 1 ALL CHILDREN UNDER 3,11.8,,,,Children in formal childcare or education 
Croatia,2016,Sheet 1 ALL CHILDREN UNDER 3,15.7,,,,Children in formal childcare or education 
Croatia,2017,Sheet 1 ALL CHILDREN UNDER 3,16,,,,Children in formal childcare or education 
Croatia,2018,Sheet 1 ALL CHILDREN UNDER 3,17.8,,,,Children in formal childcare or education 
Croatia,2019,Sheet 1 ALL CHILDREN UNDER 3,15.7,,,,Children in formal childcare or education 
Croatia,2020,Sheet 1 ALL CHILDREN UNDER 3,20.4,,,,Children in formal childcare or education 
Croatia,2021,Sheet 1 ALL CHILDREN UNDER 3,33.4,,,,Children in formal childcare or education 
Croatia,2022,Sheet 1 ALL CHILDREN UNDER 3,27.5,,,,Children in formal childcare or education 
Croatia,2023,Sheet 1 ALL CHILDREN UNDER 3,29.6,,,,Children in formal childcare or education 
Croatia,2024,Sheet 1 ALL CHILDREN UNDER 3,30.2,,,,Children in formal childcare or education 
Cyprus,2015,Sheet 1 ALL CHILDREN UNDER 3,19,,,,Children in formal childcare or education 
Cyprus,2016,Sheet 1 ALL CHILDREN UNDER 3,22.4,,,,Children in formal childcare or education 
Cyprus,2017,Sheet 1 ALL CHILDREN UNDER 3,25.8,,,,Children in formal childcare or education 
Cyprus,2018,Sheet 1 ALL CHILDREN UNDER 3,30,,,,Children in formal childcare or education 
Cyprus,2019,Sheet 1 ALL CHILDREN UNDER 3,30.2,,,,Children in formal childcare or education 
Cyprus,2020,Sheet 1 ALL CHILDREN UNDER 3,21.6,,,,Children in formal childcare or education 
Cyprus,2021,Sheet 1 ALL CHILDREN UNDER 3,26.3,,,,Children in formal childcare or education 
Cyprus,2022,Sheet 1 ALL CHILDREN UNDER 3,24.5,,,,Children in formal childcare or education 
Cyprus,2023,Sheet 1 ALL CHILDREN UNDER 3,37.4,,,,Children in formal childcare or education 
Cyprus,2024,Sheet 1 ALL CHILDREN UNDER 3,40.1,,,,Children in formal childcare or education 
Czechia,2015,Sheet 1 ALL CHILDREN UNDER 3,2.9,,,,Children in formal childcare or education 
Czechia,2016,Sheet 1 ALL CHILDREN UNDER 3,4.7,,,,Children in formal childcare or education 
Czechia,2017,Sheet 1 ALL CHILDREN UNDER 3,6.5,,,,Children in formal childcare or education 
Czechia,2018,Sheet 1 ALL CHILDREN UNDER 3,9.1,,,,Children in formal childcare or education 
